rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,MessageID,GPSSecs,GPSMicroSecs,StdMajor,StdMinor,StdOri,StdLat,StdLon,StdAlt
1722883527676560868,,1,,1722883527,661269903,"""SparkFun GPS GST""","""GST""",1722883527.0,700000.0,0.23,0.18,177.0,0.094,0.074,0.17
1722883527752543608,,2,,1722883527,752200603,"""SparkFun GPS GST""","""GST""",1722883527.0,800000.0,0.23,0.18,177.0,0.093,0.074,0.17
1722883527862381261,,3,,1722883527,861944437,"""SparkFun GPS GST""","""GST""",1722883527.0,900000.0,0.23,0.18,177.0,0.093,0.074,0.17
1722883527970056428,,4,,1722883527,969787359,"""SparkFun GPS GST""","""GST""",1722883528.0,0.0,0.23,0.18,177.0,0.093,0.074,0.17
1722883528066783136,,5,,1722883528,66397428,"""SparkFun GPS GST""","""GST""",1722883528.0,100000.0,0.23,0.18,177.0,0.093,0.074,0.17
1722883528169514601,,6,,1722883528,169164657,"""SparkFun GPS GST""","""GST""",1722883528.0,200000.0,0.23,0.18,177.0,0.093,0.074,0.17
1722883528267777844,,7,,1722883528,267572641,"""SparkFun GPS GST""","""GST""",1722883528.0,300000.0,0.23,0.18,177.0,0.093,0.074,0.17
1722883528383459120,,8,,1722883528,383115768,"""SparkFun GPS GST""","""GST""",1722883528.0,400000.0,2.0,1.8,22.0,0.8,0.76,0.55
1722883528468620947,,9,,1722883528,468218326,"""SparkFun GPS GST""","""GST""",1722883528.0,500000.0,1.6,1.4,24.0,0.63,0.59,0.44
1722883528566665354,,10,,1722883528,566374301,"""SparkFun GPS GST""","""GST""",1722883528.0,600000.0,1.3,1.2,23.0,0.54,0.5,0.39
1722883528661686058,,11,,1722883528,660764932,"""SparkFun GPS GST""","""GST""",1722883528.0,700000.0,1.2,1.1,23.0,0.48,0.44,0.36
1722883528765653000,,12,,1722883528,765393972,"""SparkFun GPS GST""","""GST""",1722883528.0,800000.0,1.1,0.97,23.0,0.43,0.4,0.35
1722883528866226583,,13,,1722883528,866105556,"""SparkFun GPS GST""","""GST""",1722883528.0,900000.0,1.0,0.89,24.0,0.4,0.37,0.33
1722883528975021340,,14,,1722883528,974663496,"""SparkFun GPS GST""","""GST""",1722883529.0,0.0,0.93,0.83,23.0,0.37,0.35,0.32
1722883529076813098,,15,,1722883529,76386451,"""SparkFun GPS GST""","""GST""",1722883529.0,100000.0,0.87,0.78,22.0,0.35,0.33,0.32
1722883529166396326,,16,,1722883529,166212558,"""SparkFun GPS GST""","""GST""",1722883529.0,200000.0,0.83,0.74,22.0,0.33,0.31,0.31
1722883529264623378,,17,,1722883529,264429330,"""SparkFun GPS GST""","""GST""",1722883529.0,300000.0,0.79,0.71,22.0,0.32,0.29,0.31
1722883529366440267,,18,,1722883529,366040945,"""SparkFun GPS GST""","""GST""",1722883529.0,400000.0,0.75,0.67,21.0,0.3,0.28,0.3
1722883529466324650,,19,,1722883529,465979576,"""SparkFun GPS GST""","""GST""",1722883529.0,500000.0,0.72,0.65,21.0,0.29,0.27,0.3
1722883529557908492,,20,,1722883529,557618856,"""SparkFun GPS GST""","""GST""",1722883529.0,600000.0,0.7,0.62,21.0,0.28,0.26,0.29
1722883529665075636,,21,,1722883529,664816379,"""SparkFun GPS GST""","""GST""",1722883529.0,700000.0,0.67,0.6,21.0,0.27,0.25,0.29
1722883529766529423,,22,,1722883529,766173362,"""SparkFun GPS GST""","""GST""",1722883529.0,800000.0,0.65,0.58,20.0,0.26,0.24,0.29
1722883529867220650,,23,,1722883529,866927862,"""SparkFun GPS GST""","""GST""",1722883529.0,900000.0,0.63,0.56,20.0,0.25,0.23,0.28
1722883529989841044,,24,,1722883529,989496469,"""SparkFun GPS GST""","""GST""",1722883530.0,0.0,0.61,0.55,20.0,0.25,0.23,0.28
1722883530068656132,,25,,1722883530,68272829,"""SparkFun GPS GST""","""GST""",1722883530.0,100000.0,0.59,0.53,19.0,0.24,0.22,0.28
1722883530170156445,,26,,1722883530,169885396,"""SparkFun GPS GST""","""GST""",1722883530.0,200000.0,0.58,0.52,19.0,0.23,0.22,0.28
1722883530264137973,,27,,1722883530,263892412,"""SparkFun GPS GST""","""GST""",1722883530.0,300000.0,0.57,0.51,18.0,0.23,0.21,0.27
1722883530371400612,,28,,1722883530,371088743,"""SparkFun GPS GST""","""GST""",1722883530.0,400000.0,0.0048,0.004,23.0,0.01,0.01,0.01
1722883530460077459,,29,,1722883530,459853649,"""SparkFun GPS GST""","""GST""",1722883530.0,500000.0,0.0046,0.0038,20.0,0.01,0.01,0.01
1722883530569527386,,30,,1722883530,569215774,"""SparkFun GPS GST""","""GST""",1722883530.0,600000.0,0.0049,0.0041,22.0,0.01,0.01,0.01
1722883530679100389,,31,,1722883530,678526163,"""SparkFun GPS GST""","""GST""",1722883530.0,700000.0,0.005,0.0041,21.0,0.01,0.01,0.01
1722883530770304753,,32,,1722883530,770094871,"""SparkFun GPS GST""","""GST""",1722883530.0,800000.0,0.0049,0.0041,17.0,0.01,0.01,0.01
1722883530874101466,,33,,1722883530,873793601,"""SparkFun GPS GST""","""GST""",1722883530.0,900000.0,0.005,0.0042,17.0,0.01,0.01,0.01
1722883530980820467,,34,,1722883530,980504035,"""SparkFun GPS GST""","""GST""",1722883531.0,0.0,0.0052,0.0044,17.0,0.01,0.01,0.01
1722883531070842642,,35,,1722883531,70474147,"""SparkFun GPS GST""","""GST""",1722883531.0,100000.0,0.0052,0.0043,17.0,0.01,0.01,0.01
1722883531178410827,,36,,1722883531,177854299,"""SparkFun GPS GST""","""GST""",1722883531.0,200000.0,0.0051,0.0043,17.0,0.01,0.01,0.01
1722883531277848599,,37,,1722883531,277585744,"""SparkFun GPS GST""","""GST""",1722883531.0,300000.0,0.0055,0.0045,20.0,0.01,0.01,0.01
1722883531366279701,,38,,1722883531,365901708,"""SparkFun GPS GST""","""GST""",1722883531.0,400000.0,0.0056,0.0047,18.0,0.01,0.01,0.01
1722883531476921402,,39,,1722883531,476651668,"""SparkFun GPS GST""","""GST""",1722883531.0,500000.0,0.0059,0.0049,19.0,0.01,0.01,0.01
1722883531575510371,,40,,1722883531,575259923,"""SparkFun GPS GST""","""GST""",1722883531.0,600000.0,0.0057,0.0047,18.0,0.01,0.01,0.01
1722883531676167610,,41,,1722883531,674282312,"""SparkFun GPS GST""","""GST""",1722883531.0,700000.0,0.0057,0.0047,19.0,0.01,0.01,0.01
1722883531780143355,,42,,1722883531,779694795,"""SparkFun GPS GST""","""GST""",1722883531.0,800000.0,0.0059,0.0049,19.0,0.01,0.01,0.01
1722883531875470666,,43,,1722883531,875004529,"""SparkFun GPS GST""","""GST""",1722883531.0,900000.0,0.0059,0.0049,18.0,0.01,0.01,0.01
1722883532002411622,,44,,1722883532,2133131,"""SparkFun GPS GST""","""GST""",1722883532.0,0.0,0.0062,0.0051,18.0,0.01,0.01,0.01
1722883532180658742,,45,,1722883532,180479049,"""SparkFun GPS GST""","""GST""",1722883532.0,200000.0,0.0066,0.0053,21.0,0.01,0.01,0.01
1722883532266780532,,46,,1722883532,266431331,"""SparkFun GPS GST""","""GST""",1722883532.0,300000.0,0.0062,0.005,19.0,0.01,0.01,0.01
1722883532376186712,,47,,1722883532,375823259,"""SparkFun GPS GST""","""GST""",1722883532.0,400000.0,0.0062,0.005,19.0,0.01,0.01,0.01
1722883532474556062,,48,,1722883532,474291086,"""SparkFun GPS GST""","""GST""",1722883532.0,500000.0,0.0064,0.0051,19.0,0.01,0.01,0.01
1722883532575061014,,49,,1722883532,574512958,"""SparkFun GPS GST""","""GST""",1722883532.0,600000.0,0.0061,0.0049,19.0,0.01,0.01,0.01
1722883532672880058,,50,,1722883532,672636270,"""SparkFun GPS GST""","""GST""",1722883532.0,700000.0,0.0063,0.005,19.0,0.01,0.01,0.01
1722883532777663075,,51,,1722883532,777124643,"""SparkFun GPS GST""","""GST""",1722883532.0,800000.0,0.0055,0.0045,20.0,0.01,0.01,0.01
1722883532875293321,,52,,1722883532,874745845,"""SparkFun GPS GST""","""GST""",1722883532.0,900000.0,0.0054,0.0044,19.0,0.01,0.01,0.01
1722883532982363999,,53,,1722883532,982023239,"""SparkFun GPS GST""","""GST""",1722883533.0,0.0,0.0053,0.0043,20.0,0.01,0.01,0.01
1722883533073939136,,54,,1722883533,73636770,"""SparkFun GPS GST""","""GST""",1722883533.0,100000.0,0.0053,0.0043,20.0,0.01,0.01,0.01
1722883533161652545,,55,,1722883533,161375045,"""SparkFun GPS GST""","""GST""",1722883533.0,200000.0,0.0058,0.0047,19.0,0.01,0.01,0.01
1722883533269410310,,56,,1722883533,269205808,"""SparkFun GPS GST""","""GST""",1722883533.0,300000.0,0.0058,0.0047,19.0,0.01,0.01,0.01
1722883533372929936,,57,,1722883533,372487306,"""SparkFun GPS GST""","""GST""",1722883533.0,400000.0,0.0059,0.0047,19.0,0.01,0.01,0.01
1722883533467361206,,58,,1722883533,467115879,"""SparkFun GPS GST""","""GST""",1722883533.0,500000.0,0.0058,0.0047,19.0,0.01,0.01,0.01
1722883533570353915,,59,,1722883533,569514036,"""SparkFun GPS GST""","""GST""",1722883533.0,600000.0,0.0061,0.0049,19.0,0.01,0.01,0.01
1722883533669283513,,60,,1722883533,669006824,"""SparkFun GPS GST""","""GST""",1722883533.0,700000.0,0.0062,0.005,19.0,0.01,0.01,0.01
1722883533778164059,,61,,1722883533,777559757,"""SparkFun GPS GST""","""GST""",1722883533.0,800000.0,0.0064,0.0052,19.0,0.01,0.01,0.01
1722883533867362097,,62,,1722883533,867202520,"""SparkFun GPS GST""","""GST""",1722883533.0,900000.0,0.0054,0.0043,20.0,0.01,0.01,0.01
1722883533990711635,,63,,1722883533,990180492,"""SparkFun GPS GST""","""GST""",1722883534.0,0.0,0.0056,0.0045,19.0,0.01,0.01,0.01
1722883534168918205,,64,,1722883534,168593168,"""SparkFun GPS GST""","""GST""",1722883534.0,200000.0,0.0058,0.0046,21.0,0.01,0.01,0.01
1722883534270196092,,65,,1722883534,269916057,"""SparkFun GPS GST""","""GST""",1722883534.0,300000.0,0.0055,0.0044,19.0,0.01,0.01,0.01
1722883534370904969,,66,,1722883534,370286941,"""SparkFun GPS GST""","""GST""",1722883534.0,400000.0,0.006,0.0048,19.0,0.01,0.01,0.01
1722883534468227301,,67,,1722883534,467298507,"""SparkFun GPS GST""","""GST""",1722883534.0,500000.0,0.0058,0.0047,17.0,0.01,0.01,0.01
1722883534570470017,,68,,1722883534,570073127,"""SparkFun GPS GST""","""GST""",1722883534.0,600000.0,0.0061,0.0049,19.0,0.01,0.01,0.01
1722883534671917819,,69,,1722883534,671541929,"""SparkFun GPS GST""","""GST""",1722883534.0,700000.0,0.0061,0.005,16.0,0.01,0.01,0.01
1722883534769734291,,70,,1722883534,769276142,"""SparkFun GPS GST""","""GST""",1722883534.0,800000.0,0.0054,0.0044,17.0,0.01,0.01,0.01
1722883534873401084,,71,,1722883534,872845172,"""SparkFun GPS GST""","""GST""",1722883534.0,900000.0,0.0054,0.0044,17.0,0.01,0.01,0.01
1722883534974226842,,72,,1722883534,974031209,"""SparkFun GPS GST""","""GST""",1722883535.0,0.0,0.0055,0.0045,17.0,0.01,0.01,0.01
1722883535098325711,,73,,1722883535,98023414,"""SparkFun GPS GST""","""GST""",1722883535.0,100000.0,0.0058,0.0048,17.0,0.01,0.01,0.01
1722883535272187454,,74,,1722883535,271806716,"""SparkFun GPS GST""","""GST""",1722883535.0,300000.0,0.0048,0.0039,23.0,0.01,0.01,0.01
1722883535371273918,,75,,1722883535,370968580,"""SparkFun GPS GST""","""GST""",1722883535.0,400000.0,0.0045,0.0038,19.0,0.01,0.01,0.01
1722883535470809411,,76,,1722883535,470651149,"""SparkFun GPS GST""","""GST""",1722883535.0,500000.0,0.0046,0.0038,22.0,0.01,0.01,0.01
1722883535574871670,,77,,1722883535,574255466,"""SparkFun GPS GST""","""GST""",1722883535.0,600000.0,0.0048,0.0039,22.0,0.01,0.01,0.01
1722883535672079781,,78,,1722883535,671769618,"""SparkFun GPS GST""","""GST""",1722883535.0,700000.0,0.0048,0.0039,22.0,0.01,0.01,0.01
1722883535778612780,,79,,1722883535,778232336,"""SparkFun GPS GST""","""GST""",1722883535.0,800000.0,0.0047,0.0038,22.0,0.01,0.01,0.01
1722883535861903174,,80,,1722883535,861598253,"""SparkFun GPS GST""","""GST""",1722883535.0,900000.0,0.0047,0.0038,22.0,0.01,0.01,0.01
1722883536000088915,,81,,1722883535,999791383,"""SparkFun GPS GST""","""GST""",1722883536.0,0.0,0.0046,0.0038,19.0,0.01,0.01,0.01
1722883536181442248,,82,,1722883536,181084632,"""SparkFun GPS GST""","""GST""",1722883536.0,200000.0,0.0051,0.0041,22.0,0.01,0.01,0.01
1722883536274473837,,83,,1722883536,274210929,"""SparkFun GPS GST""","""GST""",1722883536.0,300000.0,0.0053,0.0043,21.0,0.01,0.01,0.01
1722883536373964879,,84,,1722883536,373627901,"""SparkFun GPS GST""","""GST""",1722883536.0,400000.0,0.0052,0.0042,20.0,0.01,0.01,0.01
1722883536471320850,,85,,1722883536,471078634,"""SparkFun GPS GST""","""GST""",1722883536.0,500000.0,0.0053,0.0043,20.0,0.01,0.01,0.01
1722883536573849928,,86,,1722883536,573531627,"""SparkFun GPS GST""","""GST""",1722883536.0,600000.0,0.0052,0.0042,20.0,0.01,0.01,0.01
1722883536675699343,,87,,1722883536,675437927,"""SparkFun GPS GST""","""GST""",1722883536.0,700000.0,0.0052,0.0043,18.0,0.01,0.01,0.01
1722883536760760893,,88,,1722883536,760449647,"""SparkFun GPS GST""","""GST""",1722883536.0,800000.0,0.0049,0.0041,19.0,0.01,0.01,0.01
1722883536871997124,,89,,1722883536,871575117,"""SparkFun GPS GST""","""GST""",1722883536.0,900000.0,0.0052,0.0043,19.0,0.01,0.01,0.01
1722883536981516961,,90,,1722883536,981216669,"""SparkFun GPS GST""","""GST""",1722883537.0,0.0,0.0055,0.0045,18.0,0.01,0.01,0.01
1722883537066533978,,91,,1722883537,66248178,"""SparkFun GPS GST""","""GST""",1722883537.0,100000.0,0.0055,0.0046,18.0,0.01,0.01,0.01
1722883537172550229,,92,,1722883537,172254800,"""SparkFun GPS GST""","""GST""",1722883537.0,200000.0,0.0055,0.0045,18.0,0.01,0.01,0.01
1722883537267841133,,93,,1722883537,267497062,"""SparkFun GPS GST""","""GST""",1722883537.0,300000.0,0.0057,0.0047,17.0,0.01,0.01,0.01
1722883537366640978,,94,,1722883537,366286277,"""SparkFun GPS GST""","""GST""",1722883537.0,400000.0,0.0056,0.0047,18.0,0.01,0.01,0.01
1722883537467102164,,95,,1722883537,466692924,"""SparkFun GPS GST""","""GST""",1722883537.0,500000.0,0.0058,0.0048,18.0,0.01,0.01,0.01
1722883537566705420,,96,,1722883537,566448926,"""SparkFun GPS GST""","""GST""",1722883537.0,600000.0,0.0062,0.0052,18.0,0.01,0.01,0.01
1722883537667139445,,97,,1722883537,666799545,"""SparkFun GPS GST""","""GST""",1722883537.0,700000.0,0.0063,0.0052,18.0,0.01,0.01,0.01
1722883537765800158,,98,,1722883537,765471458,"""SparkFun GPS GST""","""GST""",1722883537.0,800000.0,0.0059,0.005,19.0,0.01,0.01,0.01
1722883537864963265,,99,,1722883537,864749908,"""SparkFun GPS GST""","""GST""",1722883537.0,900000.0,0.0063,0.0053,17.0,0.01,0.01,0.01
1722883537979516993,,100,,1722883537,979148626,"""SparkFun GPS GST""","""GST""",1722883538.0,0.0,0.0062,0.0053,18.0,0.01,0.01,0.01
1722883538066992356,,101,,1722883538,66671609,"""SparkFun GPS GST""","""GST""",1722883538.0,100000.0,0.0062,0.0052,18.0,0.01,0.01,0.01
1722883538198325430,,102,,1722883538,197988271,"""SparkFun GPS GST""","""GST""",1722883538.0,200000.0,0.0055,0.0047,19.0,0.01,0.01,0.01
1722883538373051895,,103,,1722883538,372742176,"""SparkFun GPS GST""","""GST""",1722883538.0,400000.0,0.0054,0.0045,21.0,0.01,0.01,0.01
1722883538471113508,,104,,1722883538,470911026,"""SparkFun GPS GST""","""GST""",1722883538.0,500000.0,0.0048,0.0041,19.0,0.01,0.01,0.01
1722883538562226265,,105,,1722883538,561857461,"""SparkFun GPS GST""","""GST""",1722883538.0,600000.0,0.0045,0.0038,20.0,0.01,0.01,0.01
1722883538671318789,,106,,1722883538,671038627,"""SparkFun GPS GST""","""GST""",1722883538.0,700000.0,0.0045,0.0038,20.0,0.01,0.01,0.01
1722883538773351499,,107,,1722883538,772638559,"""SparkFun GPS GST""","""GST""",1722883538.0,800000.0,0.0045,0.0038,18.0,0.01,0.01,0.01
1722883538878360004,,108,,1722883538,878107547,"""SparkFun GPS GST""","""GST""",1722883538.0,900000.0,0.0045,0.0038,18.0,0.01,0.01,0.01
1722883538998525483,,109,,1722883538,998280286,"""SparkFun GPS GST""","""GST""",1722883539.0,0.0,0.0051,0.0044,18.0,0.01,0.01,0.01
1722883539177589899,,110,,1722883539,177331686,"""SparkFun GPS GST""","""GST""",1722883539.0,200000.0,0.0056,0.0048,19.0,0.01,0.01,0.01
1722883539269301584,,111,,1722883539,269132614,"""SparkFun GPS GST""","""GST""",1722883539.0,300000.0,0.0051,0.0044,14.0,0.01,0.01,0.01
1722883539371856528,,112,,1722883539,371623754,"""SparkFun GPS GST""","""GST""",1722883539.0,400000.0,0.005,0.0043,13.0,0.01,0.01,0.01
1722883539461652451,,113,,1722883539,461475372,"""SparkFun GPS GST""","""GST""",1722883539.0,500000.0,0.0048,0.0042,13.0,0.01,0.01,0.01
1722883539569529537,,114,,1722883539,569323301,"""SparkFun GPS GST""","""GST""",1722883539.0,600000.0,0.0049,0.0042,13.0,0.01,0.01,0.01
1722883539673362078,,115,,1722883539,672672986,"""SparkFun GPS GST""","""GST""",1722883539.0,700000.0,0.005,0.0043,13.0,0.01,0.01,0.01
1722883539770081316,,116,,1722883539,769842386,"""SparkFun GPS GST""","""GST""",1722883539.0,800000.0,0.0051,0.0043,12.0,0.01,0.01,0.01
1722883539876229496,,117,,1722883539,875672578,"""SparkFun GPS GST""","""GST""",1722883539.0,900000.0,0.0052,0.0044,13.0,0.01,0.01,0.01
1722883540000669453,,118,,1722883540,394344,"""SparkFun GPS GST""","""GST""",1722883540.0,0.0,0.0053,0.0044,13.0,0.01,0.01,0.01
1722883540178531530,,119,,1722883540,178323745,"""SparkFun GPS GST""","""GST""",1722883540.0,200000.0,0.006,0.0051,14.0,0.01,0.01,0.01
1722883540267557764,,120,,1722883540,267405748,"""SparkFun GPS GST""","""GST""",1722883540.0,300000.0,0.0056,0.0048,11.0,0.01,0.01,0.01
1722883540364377380,,121,,1722883540,363899946,"""SparkFun GPS GST""","""GST""",1722883540.0,400000.0,0.0067,0.0056,9.5,0.01,0.01,0.01
1722883540466349501,,122,,1722883540,466138601,"""SparkFun GPS GST""","""GST""",1722883540.0,500000.0,0.0062,0.0052,8.8,0.01,0.01,0.01
1722883540567506726,,123,,1722883540,567191600,"""SparkFun GPS GST""","""GST""",1722883540.0,600000.0,0.0059,0.005,7.8,0.01,0.01,0.01
1722883540666005713,,124,,1722883540,665809154,"""SparkFun GPS GST""","""GST""",1722883540.0,700000.0,0.0061,0.005,2.0,0.01,0.01,0.01
1722883540767115903,,125,,1722883540,766825914,"""SparkFun GPS GST""","""GST""",1722883540.0,800000.0,0.0062,0.005,1.9,0.01,0.01,0.01
1722883540869638514,,126,,1722883540,869244575,"""SparkFun GPS GST""","""GST""",1722883540.0,900000.0,0.0063,0.0051,1.6,0.01,0.01,0.01
1722883540978013090,,127,,1722883540,977744817,"""SparkFun GPS GST""","""GST""",1722883541.0,0.0,0.0059,0.0047,4.0,0.01,0.01,0.01
1722883541070356626,,128,,1722883541,70139408,"""SparkFun GPS GST""","""GST""",1722883541.0,100000.0,0.0057,0.0046,3.9,0.01,0.01,0.01
1722883541167394015,,129,,1722883541,167026519,"""SparkFun GPS GST""","""GST""",1722883541.0,200000.0,0.0062,0.005,3.6,0.01,0.01,0.01
1722883541260498854,,130,,1722883541,259942054,"""SparkFun GPS GST""","""GST""",1722883541.0,300000.0,0.0071,0.0057,3.7,0.01,0.01,0.01
1722883541365655121,,131,,1722883541,365359544,"""SparkFun GPS GST""","""GST""",1722883541.0,400000.0,0.0076,0.0061,3.7,0.01,0.01,0.01
1722883541465749495,,132,,1722883541,465540409,"""SparkFun GPS GST""","""GST""",1722883541.0,500000.0,0.0073,0.0058,3.9,0.01,0.01,0.01
1722883541566528946,,133,,1722883541,566124439,"""SparkFun GPS GST""","""GST""",1722883541.0,600000.0,0.0072,0.0058,3.8,0.01,0.01,0.01
1722883541665261461,,134,,1722883541,665070056,"""SparkFun GPS GST""","""GST""",1722883541.0,700000.0,0.0073,0.0058,3.9,0.01,0.01,0.01
1722883541772310555,,135,,1722883541,771356582,"""SparkFun GPS GST""","""GST""",1722883541.0,800000.0,0.0068,0.0054,4.1,0.01,0.01,0.01
1722883541864256007,,136,,1722883541,864073276,"""SparkFun GPS GST""","""GST""",1722883541.0,900000.0,0.0055,0.0045,9.2,0.01,0.01,0.01
1722883541984390414,,137,,1722883541,984026908,"""SparkFun GPS GST""","""GST""",1722883542.0,0.0,0.0056,0.0045,9.1,0.01,0.01,0.01
1722883542068495763,,138,,1722883542,68206548,"""SparkFun GPS GST""","""GST""",1722883542.0,100000.0,0.0056,0.0046,9.7,0.01,0.01,0.01
1722883542163419903,,139,,1722883542,163008689,"""SparkFun GPS GST""","""GST""",1722883542.0,200000.0,0.0048,0.004,5.9,0.01,0.01,0.01
1722883542269158886,,140,,1722883542,268564462,"""SparkFun GPS GST""","""GST""",1722883542.0,300000.0,0.005,0.0041,5.1,0.01,0.01,0.01
1722883542367996570,,141,,1722883542,367782354,"""SparkFun GPS GST""","""GST""",1722883542.0,400000.0,0.005,0.0042,180.0,0.01,0.01,0.01
1722883542466995406,,142,,1722883542,466798067,"""SparkFun GPS GST""","""GST""",1722883542.0,500000.0,0.0048,0.0041,0.59,0.01,0.01,0.01
1722883542570430689,,143,,1722883542,570040464,"""SparkFun GPS GST""","""GST""",1722883542.0,600000.0,0.0048,0.0041,1.8,0.01,0.01,0.01
1722883542668757962,,144,,1722883542,668470621,"""SparkFun GPS GST""","""GST""",1722883542.0,700000.0,0.0048,0.0041,3.0,0.01,0.01,0.01
1722883542772179991,,145,,1722883542,771721363,"""SparkFun GPS GST""","""GST""",1722883542.0,800000.0,0.0048,0.0041,3.7,0.01,0.01,0.01
1722883542868133320,,146,,1722883542,867806196,"""SparkFun GPS GST""","""GST""",1722883542.0,900000.0,0.0048,0.0042,6.2,0.01,0.01,0.01
1722883542979603752,,147,,1722883542,979315042,"""SparkFun GPS GST""","""GST""",1722883543.0,0.0,0.0049,0.0042,7.3,0.01,0.01,0.01
1722883543066608104,,148,,1722883543,66349744,"""SparkFun GPS GST""","""GST""",1722883543.0,100000.0,0.0049,0.0042,8.8,0.01,0.01,0.01
1722883543176746635,,149,,1722883543,176381587,"""SparkFun GPS GST""","""GST""",1722883543.0,200000.0,0.0049,0.0042,9.0,0.01,0.01,0.01
1722883543268811590,,150,,1722883543,268494606,"""SparkFun GPS GST""","""GST""",1722883543.0,300000.0,0.005,0.0044,8.8,0.01,0.01,0.01
1722883543367373797,,151,,1722883543,367040157,"""SparkFun GPS GST""","""GST""",1722883543.0,400000.0,0.0051,0.0044,8.9,0.01,0.01,0.01
1722883543470137234,,152,,1722883543,469941854,"""SparkFun GPS GST""","""GST""",1722883543.0,500000.0,0.0051,0.0045,8.7,0.01,0.01,0.01
1722883543567650200,,153,,1722883543,567513704,"""SparkFun GPS GST""","""GST""",1722883543.0,600000.0,0.0052,0.0045,8.1,0.01,0.01,0.01
1722883543666609140,,154,,1722883543,666326284,"""SparkFun GPS GST""","""GST""",1722883543.0,700000.0,0.0052,0.0046,8.2,0.01,0.01,0.01
1722883543770170485,,155,,1722883543,769858360,"""SparkFun GPS GST""","""GST""",1722883543.0,800000.0,0.0053,0.0047,8.4,0.01,0.01,0.01
1722883543873194109,,156,,1722883543,872925996,"""SparkFun GPS GST""","""GST""",1722883543.0,900000.0,0.0055,0.0048,10.0,0.01,0.01,0.01
1722883543979257132,,157,,1722883543,978783845,"""SparkFun GPS GST""","""GST""",1722883544.0,0.0,0.0063,0.0054,11.0,0.01,0.01,0.01
1722883544077181516,,158,,1722883544,76934099,"""SparkFun GPS GST""","""GST""",1722883544.0,100000.0,0.006,0.0052,9.3,0.01,0.01,0.01
1722883544170637198,,159,,1722883544,170362472,"""SparkFun GPS GST""","""GST""",1722883544.0,200000.0,0.006,0.0052,7.7,0.01,0.01,0.01
1722883544265196858,,160,,1722883544,265043258,"""SparkFun GPS GST""","""GST""",1722883544.0,300000.0,0.007,0.006,177.0,0.01,0.01,0.01
1722883544364368209,,161,,1722883544,364140510,"""SparkFun GPS GST""","""GST""",1722883544.0,400000.0,0.0067,0.0057,5.3,0.01,0.01,0.01
1722883544464157171,,162,,1722883544,463825225,"""SparkFun GPS GST""","""GST""",1722883544.0,500000.0,0.0064,0.0055,175.0,0.01,0.01,0.01
1722883544571194407,,163,,1722883544,570894241,"""SparkFun GPS GST""","""GST""",1722883544.0,600000.0,0.0066,0.0057,5.8,0.01,0.01,0.01
1722883544669918613,,164,,1722883544,669586658,"""SparkFun GPS GST""","""GST""",1722883544.0,700000.0,0.0067,0.0058,4.9,0.01,0.01,0.01
1722883544766377319,,165,,1722883544,766115665,"""SparkFun GPS GST""","""GST""",1722883544.0,800000.0,0.0069,0.006,5.3,0.01,0.01,0.01
1722883544854457477,,166,,1722883544,854298353,"""SparkFun GPS GST""","""GST""",1722883544.0,900000.0,0.0069,0.006,3.0,0.01,0.01,0.01
1722883544970892761,,167,,1722883544,970494270,"""SparkFun GPS GST""","""GST""",1722883545.0,0.0,0.0083,0.0071,180.0,0.01,0.01,0.01
1722883545073903157,,168,,1722883545,73583126,"""SparkFun GPS GST""","""GST""",1722883545.0,100000.0,0.0078,0.0064,175.0,0.01,0.01,0.01
1722883545171176680,,169,,1722883545,170829057,"""SparkFun GPS GST""","""GST""",1722883545.0,200000.0,0.0071,0.0058,172.0,0.01,0.01,0.01
1722883545267292919,,170,,1722883545,267081499,"""SparkFun GPS GST""","""GST""",1722883545.0,300000.0,0.007,0.0056,174.0,0.01,0.01,0.01
1722883545364611518,,171,,1722883545,364360332,"""SparkFun GPS GST""","""GST""",1722883545.0,400000.0,0.0065,0.0055,177.0,0.01,0.01,0.01
1722883545461573018,,172,,1722883545,461296081,"""SparkFun GPS GST""","""GST""",1722883545.0,500000.0,0.0068,0.0056,178.0,0.01,0.01,0.01
1722883545568882235,,173,,1722883545,568512916,"""SparkFun GPS GST""","""GST""",1722883545.0,600000.0,0.0068,0.0056,175.0,0.01,0.01,0.01
1722883545673908019,,174,,1722883545,673592805,"""SparkFun GPS GST""","""GST""",1722883545.0,700000.0,0.0075,0.0061,175.0,0.01,0.01,0.01
1722883545756344526,,175,,1722883545,756007909,"""SparkFun GPS GST""","""GST""",1722883545.0,800000.0,0.0072,0.006,177.0,0.01,0.01,0.01
1722883545868866778,,176,,1722883545,868658065,"""SparkFun GPS GST""","""GST""",1722883545.0,900000.0,0.0063,0.0053,176.0,0.01,0.01,0.01
1722883545999026521,,177,,1722883545,998599052,"""SparkFun GPS GST""","""GST""",1722883546.0,0.0,0.0066,0.0055,176.0,0.01,0.01,0.01
1722883546175207357,,178,,1722883546,174924612,"""SparkFun GPS GST""","""GST""",1722883546.0,200000.0,0.0087,0.0068,169.0,0.01,0.01,0.01
1722883546272548966,,179,,1722883546,271901369,"""SparkFun GPS GST""","""GST""",1722883546.0,300000.0,0.011,0.0082,167.0,0.01,0.01,0.01
